Date,Close,Open,High,Low
02/01/2017,1017.00,995.40,1031.70,990.20
03/01/2017,1033.30,1017.00,1035.50,1006.50
04/01/2017,1135.40,1033.30,1148.50,1022.30
05/01/2017,989.30,1135.40,1150.60,874.50
06/01/2017,886.20,989.30,1027.40,852.50
07/01/2017,888.90,886.20,900.90,806.70
08/01/2017,900.90,888.90,936.10,875.80
09/01/2017,899.80,900.90,910.50,870.90
10/01/2017,904.40,899.80,911.30,890.10
11/01/2017,785.40,904.40,917.70,751.60
12/01/2017,810.10,785.40,828.20,739.50
13/01/2017,824.80,810.10,835.00,771.00
14/01/2017,819.60,824.80,838.90,808.30
15/01/2017,821.20,819.60,826.40,808.60
16/01/2017,827.30,821.20,836.70,817.70
17/01/2017,899.70,827.30,906.40,825.00
18/01/2017,872.00,899.70,913.70,845.90
19/01/2017,895.20,872.00,905.30,870.70
20/01/2017,892.90,895.20,901.50,878.90
21/01/2017,919.80,892.90,928.90,889.50
22/01/2017,918.80,919.80,938.40,888.60
23/01/2017,921.50,918.80,928.00,910.80
24/01/2017,893.80,921.50,925.60,889.20
25/01/2017,894.40,893.80,905.70,883.60
26/01/2017,915.60,894.40,919.30,893.50
27/01/2017,918.00,915.60,922.60,907.90
28/01/2017,918.50,918.00,921.90,912.80
29/01/2017,914.50,918.50,922.40,912.70
30/01/2017,920.70,914.50,922.30,911.50
31/01/2017,965.50,920.70,967.50,917.40
01/02/2017,982.40,965.50,986.60,959.80
02/02/2017,1004.00,982.40,1009.10,973.50
03/02/2017,1013.00,1004.00,1023.70,989.20
04/02/2017,1031.80,1013.00,1041.00,1000.40
05/02/2017,1016.10,1031.80,1033.70,1004.00
06/02/2017,1024.70,1016.10,1030.60,1010.80
07/02/2017,1049.60,1024.70,1054.10,1019.90
08/02/2017,1055.50,1049.60,1069.20,1020.30
09/02/2017,979.00,1055.50,1073.00,924.70
10/02/2017,997.60,979.00,1005.60,947.00
11/02/2017,1008.30,997.60,1014.30,983.90
12/02/2017,996.50,1008.30,1007.80,992.50
13/02/2017,995.40,996.50,1007.60,975.10
14/02/2017,1008.30,995.40,1013.80,986.50
15/02/2017,1008.20,1008.30,1010.90,999.70
16/02/2017,1031.90,1008.20,1040.30,1007.40
17/02/2017,1049.40,1031.90,1057.40,1025.90
18/02/2017,1052.30,1049.40,1063.20,1044.70
19/02/2017,1048.90,1052.30,1056.50,1037.70
20/02/2017,1077.60,1048.90,1081.80,1041.00
21/02/2017,1119.00,1077.60,1123.00,1073.50
22/02/2017,1120.50,1119.00,1132.30,1094.80
23/02/2017,1171.90,1120.50,1181.60,1113.50
24/02/2017,1176.50,1171.90,1211.70,1092.40
25/02/2017,1149.10,1176.50,1180.00,1116.20
26/02/2017,1171.60,1149.10,1177.50,1130.60
27/02/2017,1188.80,1171.60,1195.80,1164.30
28/02/2017,1189.30,1188.80,1208.20,1175.80
